web-scraper-order,web-scraper-start-url,as24_a1,as24_a1-href,title_raw,short_description_raw,price_raw,car_data_raw,first_release_raw,mileage_raw,transmission_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,motor_vehicle_inspection_raw,accidentcar_raw,garantie_raw,car_description_raw,equipment_raw,seller_raw,selleraddress_raw,sellerwebsite_raw,seller_phonenumber_raw
"1733582016-11","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-allstreet-35-tfsi-s-tronic-11394466","AUDI A1 Allstreet 35 TFSI S-tronic","***Navigationssystem, Sportsitze vorne heizbar, Geschwindigkeitsregelanlage, LED-Scheinwerfer, Rückfahrkamera***","CHF 38'900.–","06.2024","06.2024","10'950 km","Automat","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","6.1 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungAssist: Adaptiver GeschwindigkeitsassistentAssist: Einparkhilfe plusAssist: GeschwindigkeitsregelanlageAssist: RückfahrkameraAudi virtual cockpitAussenspiegel elektrisch einstell-, beheiz- und anklappbarDachhimmel in Stoff schwarzEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Swiss Service Package + (ASSP+)Innenspiegel automatisch abblendbarArrow down iconMehr anzeigen","Heinz Stern AG","Baumastrasse-für Navi ""In der Mettlen 3"" eingeben, 8344 Bäretswil","http://www.heinzstern.ch","Geschäft 044 939 90 10"
"1733582018-12","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-allstreet-35-tfsi-s-tronic-11662176","AUDI A1 allstreet 35 TFSI S-tronic","***Geschwindigkeitsregelanlage, Rückfahrkamera, Navigationssystem, LED-Scheinwerfer, Sportsitze vorne heizbar***","CHF 38'900.–","07.2024","07.2024","5'950 km","Automat","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","6.1 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: GeschwindigkeitsregelanlageAssist: RückfahrkameraAudi virtual cockpitAussenspiegel elektrisch einstell-, beheiz- und anklappbarDachhimmel in Stoff schwarzEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugInnenspiegel automatisch abblendbarKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Arrow down iconMehr anzeigen","Heinz Stern AG","Baumastrasse-für Navi ""In der Mettlen 3"" eingeben, 8344 Bäretswil","http://www.heinzstern.ch","Geschäft 044 939 90 10"
"1733582021-13","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-allstreet-30-tfsi-attraction-s-tronic-11683570","AUDI A1 allstreet 30 TFSI Attraction S-tronic","***Geschwindigkeitsregelanlage, Rückfahrkamera, LED-Scheinwerfer, Vordersitze heizbar. Navigation, Mittelarmlehne vorne***","CHF 28'990.–","02.2024","02.2024","10'500 km","Automat","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","6.2 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungAssist: Einparkhilfe hintenAssist: GeschwindigkeitsregelanlageAudi virtual cockpitAussenspiegel elektrisch einstell-, beheiz- und anklappbarInnenspiegel automatisch abblendbarLackierung: Metallic-LackierungLenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plusLicht: LED-Scheinwerfer und LED-Heckleuchten mit dynamischem BlinklichtMedia: Audi Smartphone InterfaceMedia: Audi SoundsystemArrow down iconMehr anzeigen","Heinz Stern AG","Baumastrasse-für Navi ""In der Mettlen 3"" eingeben, 8344 Bäretswil","http://www.heinzstern.ch","Geschäft 044 939 90 10"
"1733582023-14","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-14-tfsi-sport-11946880","AUDI A1 Sportback 1.4 TFSI Sport","8-fach bereift, ab MFK und Service
Im Kundenauftrag zu verkaufen. Bitte Herr Stucki 079 955 18 91 kontaktieren","CHF 14'450.–","08.2016","08.2016","111'800 km","Halbautomatisches Getriebe","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","4.7 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungAblagenpaketAssist: Einparkhilfe hintenConnectivity PaketMedia: Audi music interfaceMedia: Bluetooth-SchnittstelleVorbereitung NavigationssystemKomfortpaketAblagenpaketAssist: Einparkhilfe hintenAussenspiegel rechts und linksBordcomputerLED InnenlichtpaketLicht: Licht- und RegensensorMittelarmlehne vorneTempomatKomfortschlüssel ohne Safe-FunktionLED InnenlichtpaketMedia: Audi music interfaceMedia: Bluetooth-SchnittstelleMittelarmlehne vornePaket TechnikKomfortschlüssel ohne Safe-FunktionSitze: Vordersitze heizbarXenon Plus-Lichtanlage inkl. LEDArrow down iconMehr anzeigen","Garage Joos & Schach AG","Esslingerstrasse 39, 8618 Oetwil am See","http://www.joos-schach.ch","Geschäft 044 929 01 03"
"1733582026-15","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-advanced-attraction-11710316","AUDI A1 Sportback 30 TFSI advanced Attraction","LED-Scheinwerfer, Navi, ACC, SONOS, Rückfahrkamera, etc.","CHF 30'500.–","10.2023","10.2023","12'500 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","6 l/100 km","Ja","Nein","Ja","[YM] schwarz - schwarz
[IT4] Audi connect Navigation & Infotainment (3 Jahre)
[1X1X] pfeilgrau-pfeilgrau
[6NQ] Dachhimmel in Stoff schwarz
[A41] Audi Swiss Service Package+
[EL5] Audi connect ...","AusstattungenOptionale AusstattungAssist: RückfahrkameraDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Licht: Fernlicht-AssistentMittelarmlehne vornePaket: GepäckraumpaketPaket: LichtpaketArrow down iconMehr anzeigen","Garage Huber AG","Rütistrasse 41, 8634 Hombrechtikon","http://www.garage-huber.com","Geschäft 055 254 11 00"
"1733582028-16","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11901156","AUDI A1 Sportback 30 TFSI S Line Attraction","","CHF 28'300.–","Neues Fahrzeug","Neues Fahrzeug","11 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.5 l/100 km","Ja","Nein","Ja","[B4B4] cortinaweiss-cortinaweiss
[KR] schwarz - stahlgrau
[WF6] Paket Technik
[0UB] Akzentflächen Satinlack mint
[3GD] Gepäckraumpaket
[5MB] Dekoreinlagen Polygonstruktur Feinlack schiefergrau
[9VD] ...","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Licht: Fernlicht-AssistentMittelarmlehne vornePaket: LichtpaketPolster: advanced mit Normalsitz (Stoff Debüt)Privacy-Verglasung (Scheiben abgedunkelt)Serienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSArrow down iconMehr anzeigen","Garage Huber AG","Rütistrasse 41, 8634 Hombrechtikon","http://www.garage-huber.com","Geschäft 055 254 11 00"
"1733582030-17","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-35-tfsi-s-line-12005450","AUDI A1 Sportback 35 TFSI S Line","**Navi**Virtual Cockpit**LED Scheinwerfer**","CHF 24'900.–","06.2020","06.2020","40'000 km","Halbautomatisches Getriebe","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","7 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungAbgedunkelte Seiten- und HeckscheibeAdaptive cruise controlAlu-Räder 7,5Jx17 5-Arm-Polygon-DesignAudi Smartphone InterfaceAudi Sound SystemAudi virtual cockpitAussenspiegel rechts und links elektrisch verstell-, beheiz- und anklappbar,Dachhimmel schwarzGarantie: Audi Garantie: 5 Jahre oder 100'000 km (ab 1. Inv.)GepäckraumpaketArrow down iconMehr anzeigen","Stelz Garage","Wilerstrasse 207, 9500 Kirchberg, 9500 Wil SG","http://www.stelz-garage.ch","Geschäft 071 923 10 59"
"1733582037-18","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-advanced-attraction-12001598","AUDI A1 Sportback 30 TFSI advanced Attraction","","CHF 27'500.–","09.2023","09.2023","10'200 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","5.9 l/100 km","Ja","Nein","Ja","Winterreifen

Mythosschwarz - Metallic, Stoff Plus / Kunstleder mano.pur 550,  inkl. Ablieferungspaket Fr. 320.--","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraDachhimmel in Stoff schwarzKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Perleffekt-LackierungMittelarmlehne vornePaket: GepäckraumpaketPaket: Optikpaket schwarzPaket: S line mit Sportsitz (Stoff Puls / Kunstleder mono.pur 550- Kombination schwarz)Dachhimmel in Stoff schwarzEinstiegsleisten mit Aluminiumeinlegern vorne, unbeleuchtet, mit S-SchriftzugFussmatten vorne und hintenSitze: Sportsitze vorneArrow down iconMehr anzeigen","Kreuz-Garage Willisau AG","Ettiswilerstrasse 10, 6130 Willisau","http://www.kreuz-garage.ch","Geschäft 041 972 80 75"
"1733582041-19","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-city-carver-30-tfsi-attraction-s-tronic-11998226","AUDI A1 City Carver 30 TFSI Attraction S-tronic","*CH*FAHRZEUG*Top Zustand*Ab MFK*Ab Service*SERVICE*PACKET*
KundenFahrzeug: 079 355 90 03","CHF 25'900.–","05.2021","05.2021","17'000 km","Halbautomatisches Getriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","6.9 l/100 km","Ja","18.11.2024","Ja","Herzlich Willkommen bei Garage Inncars! Gerne zeigen wir Ihnen unser Fahrzeug bei einem Kaffee oder einem Erfrischungsgetränk..

Zum Verkauf steht sehr gepflegter Audi A1 aus erster Hand im Top Zustand...

- ...","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: GeschwindigkeitsregelanlageAssist: Kamerabasierte VerkehrszeichenerkennungAssist: RückfahrkameraAudi virtual cockpitDachhimmel in Stoff schwarzInnenspiegel automatisch abblendbarKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plus und SchaltwippenArrow down iconMehr anzeigen","Garage Inncars GmbH","Ueberlandstrasse 150, 8953 Dietikon","http://www.inncars.ch","Mobil 079 405 60 75"
"1733582043-20","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-12-tfsi-ambition-12052150","AUDI A1 Sportback 1.2 TFSI Ambition","Navi | Bluetooth | LED | Klimaaut. | 16”Alu | Sportsitze | Tempomat | Sitzheizung | Start/Stop System | ISOFIX | Parksensoren hi. | Irrtümer und Änderungen vorbehalten!","CHF 10'800.–","06.2012","06.2012","69'000 km","Schaltgetriebe manuell","Vorderradantrieb","Kleinwagen","Benzin","86 PS (63 kW)","5.1 l/100 km","Ja","Nein","Ja","WEITERE INFORMATIONEN
 Navi | Bluetooth | LED | Klimaaut. | 16”Alu | Sportsitze | Tempomat | Sitzheizung | Start/Stop System | ISOFIX | Parksensoren hi. | Irrtümer und Änderungen vorbehalten!, ...","AusstattungenSerienmässige Ausstattung3-Speichen-Sportlederlenkrad5-Gang-GetriebeAirbag: Airbag Fahrer und BeifahrerAktivkohlefilterAlu-Räder 7Jx16J 7-Arm-DesignAluminium-ApplikationenAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderAssist: Bremsassistent (BAS)Arrow down iconMehr anzeigen","Auto Center Wetzikon AG","Pfäffikerstrasse 78, 8623 Wetzikon ZH","http://200acw.ch","Geschäft 044 931 30 00"
