web-scraper-order,web-scraper-start-url,as24_a1,as24_a1-href,title_raw,short_description_raw,price_raw,car_data_raw,first_release_raw,mileage_raw,transmission_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,motor_vehicle_inspection_raw,accidentcar_raw,guarantee_raw,car_description_raw,equipment_raw,seller_raw,selleraddress_raw,sellerwebsite_raw,seller_phonenumber_raw
1734006888-11,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tdi-10442612,AUDI A4 Avant 2.0 TDI,,CHF 3'900.–,Calendar icon11.2009Car iconKombiRoad icon400'000 kmGas station iconDieselTransmission iconSchaltgetriebe manuellVehicle power icon170 PS (125 kW)Drive type iconVorderradantriebConsumption icon5.5 l/100 km,11.2009,400'000 km,Schaltgetriebe manuell,Vorderradantrieb,Kombi,Diesel,170 PS (125 kW),5.5 l/100 km,Nein,Ja,Nein,Unfallwagen,"AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAlu-Räder 7,5Jx16 7-Arm-DesignAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderAssist: Bremsassistent (BAS)Arrow down iconMehr anzeigen",Autozentrum Sulgerhof GmbH,"Hauptstrasse 13, 8583 Sulgen",,Geschäft 071 460 17 77
1734006894-12,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-avant-18-tfsi-11903036,AUDI A4 Avant 1.8 TFSI,,CHF 5'890.–,Calendar icon01.2013Car iconKombiRoad icon216'800 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon170 PS (125 kW)Drive type iconVorderradantriebConsumption icon6.1 l/100 km,01.2013,216'800 km,Schaltgetriebe manuell,Vorderradantrieb,Kombi,Benzin,170 PS (125 kW),6.1 l/100 km,Nein,26.11.2021,Nein,,AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAlu-Räder 7.5x16J im 10-Speichen-DesignAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderAssist: Bremsassistent (BAS)Arrow down iconMehr anzeigen,Auto Alen Hunzenschwil,"Neulandweg 12, 5502 Hunzenschwil",,Verkauf 079 330 56 28
1734006897-13,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-cabriolet-24-v6-11916280,AUDI A4 Cabriolet 2.4 V6,"8Fachbereift
Dach Funktioniert",CHF 1'700.–,Calendar icon03.2003Car iconCabrioletRoad icon140'127 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon170 PS (125 kW)Drive type iconVorderradantriebConsumption icon9.9 l/100 kmG,03.2003,140'127 km,Schaltgetriebe manuell,Vorderradantrieb,Cabriolet,Benzin,170 PS (125 kW),9.9 l/100 km,Nein,01.04.2021,Nein,,"AusstattungenSerienmässige Ausstattung5-Gang-GetriebeAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAlu-Räder 7Jx16J 7-Arm-DesignAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Applikationen glänzendAssist: Bremsassistent (BAS)Aussenspiegel rechts und links beheizt und elektrisch verstellbar, asphärisch gewölbtes SpiegelglasAussentemperaturanzeigeArrow down iconMehr anzeigen",Autohandel Farhat,"schützenmatt str 16, 6020 Emmenbrücke",,Geschäft 079 341 61 53
1734006899-14,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-45-tfsi-s-line-s-tronic-quattro-10052313,AUDI A4 45 TFSI S line S-tronic quattro,Neu… innen und aussen!,CHF 39'900.–,Calendar icon12.2020Car iconLimousineRoad icon900 kmGas station iconBenzinTransmission iconAutomatVehicle power icon265 PS (195 kW)Drive type iconAllradConsumption icon-E,12.2020,900 km,Automat,Allrad,Limousine,Benzin,265 PS (195 kW),-,Nein,Nein,Nein,,"AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenABS, EBD elektronische BremskraftverteilungAbgasendrohreAirbag: Seitenairbags vorneAirbag: Window-KopfairbagsAllradantrieb permanentAudi connect NotrufAudi drive selectAudi pre sense cityArrow down iconMehr anzeigen",Piena Corsa Auto AG,"Schönbühlstrasse 14, 8635 Dürnten",,Geschäft 043 928 00 65
1734006901-15,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-avant-30-tdi-quattro-s-tronic-11924161,AUDI A4 Avant 3.0 TDI quattro S-tronic,,CHF 6'490.–,Calendar icon07.2011Car iconKombiRoad icon236'000 kmGas station iconDieselTransmission iconAutomatVehicle power icon239 PS (176 kW)Drive type iconAllradConsumption icon7.2 l/100 kmG,07.2011,236'000 km,Automat,Allrad,Kombi,Diesel,239 PS (176 kW),7.2 l/100 km,Nein,02.02.2021,Nein,"*ACHTUNG* Hochdruckpumpe kaputt! |
mehrere Kratzer & Gebrauchtspuren",AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAllradantrieb permanentAlu-Räder 7.5Jx16 6-Arm-DesignAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderArrow down iconMehr anzeigen,AUTO UNION,"Glatthaldestrasse 18a, 9230 Flawil",,Geschäft 079 446 10 01
1734006903-16,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-cabriolet-18-turbo-11535641,AUDI A4 Cabriolet 1.8 Turbo,,CHF 2'222.–,Calendar icon02.2005Car iconCabrioletRoad icon200'000 kmGas station iconBenzinTransmission iconAutomatVehicle power icon163 PS (120 kW)Drive type iconVorderradantriebConsumption icon8.7 l/100 kmG,02.2005,200'000 km,Automat,Vorderradantrieb,Cabriolet,Benzin,163 PS (120 kW),8.7 l/100 km,Nein,Nein,Nein,,AusstattungenOptionale Ausstattung6-Stufen-Automat MultitronicMetallic-LackierungS-Line SportfahrwerkStoff-/Leder-AusstattungTempomatXenon-LichtanlageXenon-LichtanlageSerienmässige Ausstattung5-Gang-GetriebeAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAlu-Räder 7Jx16J 7-Arm-DesignArrow down iconMehr anzeigen,Carpark Holzliwiesen GmbH,"Zürcherstrasse 23, 8317 Tagelswangen-Lindau (Zürich)",,Geschäft 076 445 44 44
1734006906-17,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-18t-11708646,AUDI 1.8T,,CHF 1'800.–,Calendar icon01.2006Car iconCabrioletRoad icon222'992 kmGas station iconBenzinTransmission iconAutomatVehicle power icon-Drive type icon-Consumption icon-,01.2006,222'992 km,Automat,-,Cabriolet,Benzin,-,-,Nein,08.05.2020,Nein,,,A. Zaidan Automobile GmbH,"Gewerbestrasse 14 - Birchweg 26, 8200 Schaffhausen-Siblingen",,Geschäft 076 803 01 00
1734006908-18,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-quattro-b7-11939470,AUDI Quattro B7,,CHF 3'900.–,Calendar icon10.2004Car iconLimousineRoad icon143'630 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon197 PS (147 kW)Drive type iconAllradConsumption icon8 l/100 kmG,10.2004,143'630 km,Schaltgetriebe manuell,Allrad,Limousine,Benzin,197 PS (147 kW),8 l/100 km,Nein,30.12.2022,Nein,,AusstattungenZusätzliche AusstattungABSElektrische FensterheberAutomatische KlimaanlageBeheizbare SitzeKlimaanlageNavigationLederDie tatsächliche Ausstattung kann von der veröffentlichten Ausstattung abweichen.,Quali Auto Hunzenschwil GmbH,"Hauptstrasse 16, 5502 Hunzenschwil",,Verkauf 079 452 83 48
1734006911-19,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-18-t-11380456,AUDI A4 1.8 T,,CHF 2'200.–,Calendar icon03.2003Car iconLimousineRoad icon216'496 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon163 PS (120 kW)Drive type iconVorderradantriebConsumption icon8.3 l/100 kmG,03.2003,216'496 km,Schaltgetriebe manuell,Vorderradantrieb,Limousine,Benzin,163 PS (120 kW),8.3 l/100 km,Nein,14.04.2021,Nein,"Nichtraucher-Fahrzeug, ABS-Lampe und Motorlampe leuchtet manchmal Fahrzeug läuft jedoch schön, Serviceheft vorhanden, ab Platz Verkauf",AusstattungenOptionale AusstattungAlu-Räder 7.5Jx16 6-Arm-DesignAluminium-ApplikationenAussenspiegel elektrisch verstellbar mitDiebstahlwarnanlage mit Innenraum-Dämmglas mit FrontscheibenheizungMetallic-LackierungMittelarmlehne vornePaket Buffalo-Lederausstattung/Buffalino Leder-AusstattungVordersitze heizbarPark Distance Control (PDC)Radio/Tonband mit SymphonyArrow down iconMehr anzeigen,CCARS,"Luzernerstrasse 172, 5054 Moosleerau",,Geschäft 079 209 19 00
1734006913-20,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-avant-18-t-11517609,AUDI A4 Avant 1.8 T,,CHF 890.–,Calendar icon08.2002Car iconKombiRoad icon323'500 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon150 PS (110 kW)Drive type iconVorderradantriebConsumption icon8.4 l/100 kmG,08.2002,323'500 km,Schaltgetriebe manuell,Vorderradantrieb,Kombi,Benzin,150 PS (110 kW),8.4 l/100 km,Nein,18.01.2022,Nein,,AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3 Speichen-Sportlenkrad5-Gang-GetriebeAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAlu-Räder 7Jx16 5-Arm Aero-DesignAlu-Räder 7Jx16 5-Arm-DesignAntiblockiersystem (ABS)Applikationen glänzendAssist: Bremsassistent (BAS)Arrow down iconMehr anzeigen,A. Zidan Autohandel GmbH,"Mühlentalstrasse 261, 8200 Schaffhausen",,Mobil 076 410 01 00
1734006915-21,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tfsi-quattro-11986972,AUDI A4 Avant 2.0 TFSI quattro,motor dreht aber lauft nicht,CHF 2'500.–,Calendar icon11.2008Car iconKombiRoad icon188'000 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon211 PS (155 kW)Drive type iconAllradConsumption icon7.6 l/100 kmG,11.2008,188'000 km,Schaltgetriebe manuell,Allrad,Kombi,Benzin,211 PS (155 kW),7.6 l/100 km,Nein,Nein,Nein,motor dreht aber lauft nicht,"AusstattungenOptionale AusstattungPark Distance Control vorne und hintenSerienmässige Ausstattung3 Kopfstützen hinten3 Speichen-Sportlenkrad3-Punkt-Sicherheitsgurte auf allen PlätzenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAllradantrieb permanentAlu-Räder 7,5Jx17 im 7-Arm-DesignAntiblockiersystem (ABS)Arrow down iconMehr anzeigen",Volki  Autohandel,"Industriestrasse 6, 8604 Volketswil",,Geschäft 077 985 35 64
1734006917-22,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-avant-18-tfsi-multitronic-11786193,AUDI A4 Avant 1.8 TFSI multitronic,,CHF 2'999.–,Calendar icon01.2016Car iconKombiRoad icon160'000 kmGas station iconBenzinTransmission iconAutomatVehicle power icon170 PS (125 kW)Drive type iconVorderradantriebConsumption icon6 l/100 km,01.2016,160'000 km,Automat,Vorderradantrieb,Kombi,Benzin,170 PS (125 kW),6 l/100 km,Nein,27.12.2021,Nein,"Motor und Getriebe sind gut 
Auto ist Rollbar","AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen Plätzen8-Stufen-Automat CVT sequentiellAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAlu-Räder 7,5Jx17 7-Arm-DesignAlu-Räder 7.5J x 17 im 5-Speichen-DesignAlu-Räder 7.5x17J im 20-Speichen-DesignAntiblockiersystem (ABS)Arrow down iconMehr anzeigen",Autobuchs.ch,"Riedackerweg 14, 8107 Buchs",,Mobil 079 550 10 00
